"","isbn","year","isbndb","category"
"0385509456","0385509456",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385509456",NA
"0385511612","0385511612",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385511612","Fiction"
"0385730586","0385730586",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385730586","Juvenile Fiction"
"0446605484","0446605484",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446605484","Fiction"
"0446610399","0446610399",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446610399",NA
"0449006522","0449006522",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449006522","Fiction"
"0449911004","0449911004",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449911004","Fiction"
"0451162072","0451162072",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451162072","Fiction"
"0451186648","0451186648",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451186648","Fiction"
"0452282152","0452282152",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0452282152","Fiction"
"051513290X","051513290X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:051513290X","Fiction"
"0553580388","0553580388",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553580388","Fiction"
"0671023616","0671023616",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671023616",NA
"0671027387","0671027387",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671027387",NA
"0684848783","0684848783",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0684848783","Biography & Autobiography"
"0743486226","0743486226",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743486226",NA
"0786863986","0786863986",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0786863986","Biography & Autobiography"
"0804117934","0804117934",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0804117934","Fiction"
"140003180X","140003180X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:140003180X","Fiction"
"155874262X","155874262X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:155874262X","Self-Help"
"0060987103","0060987103",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060987103","Fiction"
"0151008116","0151008116",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0151008116","Fiction"
"0525947647","0525947647",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0525947647","Humor"
"0804111359","0804111359",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0804111359","Fiction"
"1558744150","1558744150",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1558744150",NA
"0316782505","0316782505",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316782505",NA
"0064472264","0064472264",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0064472264","Juvenile Fiction"
"0312890044","0312890044",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312890044","Fiction"
"0375751513","0375751513",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375751513","Fiction"
"0440241413","0440241413",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440241413","Fiction"
"0451409256","0451409256",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451409256",NA
"0451523415","0451523415",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451523415","Juvenile Fiction"
"0451526341","0451526341",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451526341","Fiction"
"0553280589","0553280589",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553280589","Fiction"
"0679751343","0679751343",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0679751343","Fiction"
"0684833395","0684833395",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0684833395","Fiction"
"1563898586","1563898586",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:1563898586","Comics & Graphic Novels"
"0374270325","0374270325",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0374270325","Fiction"
"0375719180","0375719180",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375719180","Fiction"
"0440235502","0440235502",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440235502","Biography & Autobiography"
"044023722X","044023722X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:044023722X","Fiction"
"1573225487","1573225487",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1573225487",NA
"0060977477","0060977477",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060977477","Biography & Autobiography"
"0553278746","0553278746",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553278746","Fiction"
"0312963009","0312963009",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312963009","Fiction"
"0812541642","0812541642",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0812541642","Fiction"
"0380730138","0380730138",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380730138","Fiction"
"1573228737","1573228737",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:1573228737","Fiction"
"0425120279","0425120279",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425120279","Fiction"
"0380728273","0380728273",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380728273","Fiction"
"0060188731","0060188731",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060188731","Fiction"
"0140374248","0140374248",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0140374248",NA
"0142001740","0142001740",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0142001740","Fiction"
"0312995423","0312995423",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312995423","Fiction"
"0380704587","0380704587",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380704587","Fiction"
"0380815923","0380815923",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380815923","Fiction"
"0385416342","0385416342",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385416342",NA
"0385418493","0385418493",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385418493","History"
"038542471X","038542471X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:038542471X","Fiction"
"0449005410","0449005410",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449005410","Fiction"
"0515128554","0515128554",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0515128554",NA
"0517577402","0517577402",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0517577402","Fiction"
"067103619X","067103619X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:067103619X","Fiction"
"0743411269","0743411269",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743411269",NA
"0743470389","0743470389",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743470389","Fiction"
"0767905938","0767905938",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0767905938","Social Science"
"0156528207","0156528207",1960,"https://www.googleapis.com/books/v1/volumes?q=isbn:0156528207","Juvenile Fiction"
"0380012863","0380012863",1970,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380012863",NA
"0451527747","0451527747",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451527747","Fiction"
"0671867113","0671867113",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671867113","Fiction"
"0060173289","0060173289",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060173289","Fiction"
"0060973897","0060973897",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060973897","Social Science"
"006101351X","006101351X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:006101351X","Nature"
"0316666343","0316666343",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316666343","Fiction"
"0440224675","0440224675",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440224675","Fiction"
"0449002632","0449002632",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449002632","Fiction"
"0449213773","0449213773",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449213773",NA
"0553569058","0553569058",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553569058","Fiction"
"0679427430","0679427430",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0679427430","Literary Collections"
"1573225126","1573225126",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1573225126","Biography & Autobiography"
"1878424319","1878424319",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1878424319","Self-Help"
"0345313097","0345313097",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345313097","Fiction"
"0345335465","0345335465",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345335465",NA
"0385333404","0385333404",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385333404","Fiction"
"044021145X","044021145X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:044021145X","Fiction"
"0449212084","0449212084",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449212084","Fiction"
"0553210092","0553210092",1960,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553210092","Adulteresses"
"0553258524","0553258524",1970,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553258524","Dragons"
"055358099X","055358099X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:055358099X","Fiction"
"0316168815","0316168815",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316168815","Fiction"
"014023828X","014023828X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:014023828X","Fiction"
"0345424719","0345424719",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345424719","Fiction"
"0375726403","0375726403",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375726403","Fiction"
"0385503857","0385503857",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385503857","Fiction"
"0440226104","0440226104",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440226104","Fiction"
"0452277337","0452277337",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0452277337","Fiction"
"0553802488","0553802488",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553802488","Fiction"
"0671021001","0671021001",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671021001","Fiction"
"0767903579","0767903579",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0767903579",NA
"0805063897","0805063897",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0805063897","Business & Economics"
"0553285343","0553285343",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553285343","Fiction"
"0671002481","0671002481",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671002481","Fiction"
"0842329129","0842329129",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0842329129","Fiction"
"0380973545","0380973545",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380973545","Humor"
"0743424425","0743424425",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743424425","Fiction"
"0786868015","0786868015",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0786868015","Fiction"
"0446610178","0446610178",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446610178",NA
"0440235057","0440235057",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440235057",NA
"0060915544","0060915544",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060915544","Fiction"
"0060917016","0060917016",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060917016","Fiction"
"0060932759","0060932759",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060932759",NA
"0061000280","0061000280",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061000280","Fiction"
"0312195516","0312195516",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312195516","Fiction"
"0399137807","0399137807",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0399137807","Fiction"
"039914739X","039914739X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:039914739X","Fiction"
"0451410556","0451410556",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451410556","Fiction"
"0312278586","0312278586",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312278586","Fiction"
"0312288115","0312288115",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312288115","Fiction"
"0380710218","0380710218",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380710218","Medical examiners (Law)"
"0515118656","0515118656",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0515118656","Fiction"
"0553289063","0553289063",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553289063","Fiction"
"0671000306","0671000306",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671000306",NA
"0671673688","0671673688",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671673688","Fiction"
"0618173870","0618173870",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0618173870",NA
"0156027321","0156027321",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0156027321",NA
"0385721420","0385721420",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385721420","Fiction"
"0451202341","0451202341",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451202341","Fiction"
"0743418190","0743418190",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743418190","Fiction"
"0385335407","0385335407",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385335407","Fiction"
"0060923245","0060923245",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060923245","Fiction"
"0060913509","0060913509",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060913509","Fiction"
"0553272837","0553272837",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553272837","Fiction"
"0440225078","0440225078",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440225078","Fiction"
"0425181111","0425181111",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425181111","Fiction"
"0380732688","0380732688",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380732688","Fiction"
"0140286276","0140286276",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0140286276","Fiction"
"0373484100","0373484100",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0373484100","Fiction"
"0449907481","0449907481",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449907481","Fiction"
"0553107305","0553107305",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553107305","Fiction"
"080213825X","080213825X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:080213825X","Fiction"
"0515127833","0515127833",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0515127833","Fiction"
"0345441133","0345441133",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345441133","Fiction"
"0515134279","0515134279",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0515134279","Fiction"
"0385490992","0385490992",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385490992","Fiction"
"0385424728","0385424728",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385424728","Fiction"
"0385472951","0385472951",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385472951","Fiction"
"0451195663","0451195663",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451195663","Fiction"
"0425182878","0425182878",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425182878","Fiction"
"0553564528","0553564528",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553564528",NA
"055356451X","055356451X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:055356451X","Fiction"
"0743412621","0743412621",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743412621","Fiction"
"0020442408","0020442408",1970,"https://www.googleapis.com/books/v1/volumes?q=isbn:0020442408",NA
"042517736X","042517736X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:042517736X","Fiction"
"0671868713","0671868713",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671868713",NA
"0345313860","0345313860",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345313860","Fiction"
"0345369947","0345369947",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345369947","Fiction"
"0345353625","0345353625",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345353625","Feminists"
"0805056491","0805056491",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0805056491",NA
"0385306032","0385306032",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385306032","Fiction"
"0821772953","0821772953",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0821772953",NA
"0553576925","0553576925",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553576925","Fiction"
"0743206053","0743206053",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743206053","Biography & Autobiography"
"0307001164","0307001164",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0307001164",NA
"1400077826","1400077826",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:1400077826","Fiction"
"0446394521","0446394521",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446394521",NA
"068484267X","068484267X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:068484267X","Biography & Autobiography"
"0553578693","0553578693",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553578693","Fiction"
"0345413377","0345413377",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345413377",NA
"0345413369","0345413369",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345413369",NA
"0679893105","0679893105",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0679893105","Juvenile Fiction"
"0345369068","0345369068",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345369068","Fiction"
"0451184718","0451184718",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451184718","Fiction"
"0449209121","0449209121",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449209121","Fiction"
"0060938455","0060938455",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060938455","Social Science"
"0385335679","0385335679",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385335679","Fiction"
"0440122090","0440122090",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440122090",NA
"0671525832","0671525832",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671525832","Fiction"
"0061009059","0061009059",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061009059",NA
"0060930187","0060930187",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060930187","Fiction"
"0679450432","0679450432",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0679450432","Fiction"
"0821770209","0821770209",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0821770209","Fiction"
"0446364193","0446364193",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446364193","Fiction"
"0446519138","0446519138",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446519138","Self-Help"
"0425179672","0425179672",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425179672","Fiction"
"0061042943","0061042943",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061042943",NA
"0399144463","0399144463",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0399144463","Business & Economics"
"0425174484","0425174484",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425174484","Biography & Autobiography"
"0140185216","0140185216",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0140185216",NA
"0684801221","0684801221",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0684801221","Fiction"
