make,model,VClass
Nissan,Truck 4WD (new Version),Standard Pickup Trucks
MINI,John Cooper Works,Minicompact Cars
MINI,John Cooper Works Convertible,Minicompact Cars
MINI,John Cooper Works Clubman,Subcompact Cars
Nissan,GT-R,Subcompact Cars
Pontiac,G5,Subcompact Cars
Pontiac,G5 GT,Subcompact Cars
Rolls-Royce,Phantom Coupe,Compact Cars
Ford,Fusion FWD,Midsize Cars
Jaguar,XF Supercharged,Midsize Cars
Saturn,Astra 4DR Hatchback,Midsize Cars
Rolls-Royce,Phantom EWB,Large Cars
Hyundai,Elantra Touring,Small Station Wagons
Hummer,H3T 4WD,Standard Pickup Trucks 4WD
Cadillac,Escalade Hybrid 2WD,Sport Utility Vehicle - 2WD
Chevrolet,Traverse FWD,Sport Utility Vehicle - 2WD
Chevrolet,Traverse AWD,Sport Utility Vehicle - 4WD
Infiniti,FX50 AWD,Sport Utility Vehicle - 4WD
Porsche,Cayenne Turbo S,Sport Utility Vehicle - 4WD
Volvo,XC60 AWD,Sport Utility Vehicle - 4WD
Chevrolet,Express 1500 2WD Passenger,"Vans, Passenger Type"
GMC,Savana 1500 2WD (cargo),"Vans, Cargo Type"
GMC,Savana 1500 2WD Conversion (cargo),"Vans, Cargo Type"
GMC,Savana 1500 2WD (Passenger),"Vans, Passenger Type"
Chevrolet,Van 1500 2WD Cargo,"Vans, Cargo Type"
Chevrolet,Van 1500 2WD Conversion Cargo,"Vans, Cargo Type"
Chevrolet,Express 1500 AWD Passenger,"Vans, Passenger Type"
GMC,Savana 1500  AWD (cargo),"Vans, Cargo Type"
GMC,K25 Pickup 4WD,Standard Pickup Trucks
Chevrolet,Van 1500 AWD Cargo,"Vans, Cargo Type"
Chevrolet,Van 1500 AWD Conversion Cargo,"Vans, Cargo Type"
Spyker,C8,Two Seaters
BMW,328ci xDrive,Subcompact Cars
BMW,335ci xDrive,Subcompact Cars
Jeep,Comanche 4WD,Standard Pickup Trucks
BMW,328i xDrive,Compact Cars
BMW,335i xDrive,Compact Cars
Dodge,Challenger,Compact Cars
Ford,Focus FWD,Compact Cars
Mercedes-Benz,CL550 4matic,Compact Cars
Suzuki,SX4 Sport,Compact Cars
Volkswagen,CC,Compact Cars
Volkswagen,CC 4motion,Compact Cars
BMW,528i xDrive,Midsize Cars
BMW,535i xDrive,Midsize Cars
Jeep,J-20 Pickup Truck,Standard Pickup Trucks
BMW,328i Sport Wagon xDrive,Small Station Wagons
BMW,535i Sport Wagon xDrive,Midsize Station Wagons
GMC,Savana 1500 AWD Conversion (cargo),"Vans, Cargo Type"
GMC,Savana 1500 AWD (cargo),"Vans, Cargo Type"
Chrysler,Town and Country,Minivan - 2WD
Dodge,Caravan/Grand Caravan FWD,Minivan - 2WD
Volkswagen,Routan FWD,Minivan - 2WD
BMW,X3 xDrive30i,Sport Utility Vehicle - 4WD
BMW,X5 xDrive30i,Sport Utility Vehicle - 4WD
Jeep,Grand Cherokee SRT8 AWD,Sport Utility Vehicle - 4WD
Mercedes-Benz,R320 Bluetec,Sport Utility Vehicle - 4WD
Chevrolet,Silverado C15 XFE 2WD,Standard Pickup Trucks 2WD
Chevrolet,Tahoe 1500 XFE 2WD,Sport Utility Vehicle - 2WD
GMC,Sierra C15 XFE 2WD,Standard Pickup Trucks 2WD
GMC,Yukon 1500 XFE 2WD,Sport Utility Vehicle - 2WD
Lincoln,Town Car FFV,Large Cars
Acura,TL 2WD,Midsize Cars
Acura,TL 4WD,Midsize Cars
Lexus,LS 460 AWD,Midsize Cars
Lexus,LS 460 L AWD,Midsize Cars
Suzuki,Equator 2WD,Small Pickup Trucks 2WD
Suzuki,Equator 4WD,Small Pickup Trucks 4WD
Toyota,Venza,Sport Utility Vehicle - 2WD
BMW,X5 xDrive48i,Sport Utility Vehicle - 4WD
Mercedes-Benz,GL320 Bluetec,Sport Utility Vehicle - 4WD
Mercedes-Benz,ML320 Bluetec,Sport Utility Vehicle - 4WD
Toyota,Venza AWD,Sport Utility Vehicle - 4WD
Ford,Expedition 2WD FFV,Sport Utility Vehicle - 2WD
Lincoln,Navigator 2WD FFV,Sport Utility Vehicle - 2WD
Infiniti,G37x Coupe,Subcompact Cars
Infiniti,G37,Midsize Cars
Infiniti,G37x,Midsize Cars
Ford,F150 SFE 2WD,Standard Pickup Trucks 2WD
Dodge,Durango HEV,Sport Utility Vehicle - 4WD
Chrysler,Aspen HEV,Sport Utility Vehicle - 4WD
Nissan,370z,Two Seaters
Hyundai,Genesis Coupe,Subcompact Cars
Lexus,IS 250/IS 250C,Subcompact Cars
Lexus,IS 350/IS 350C,Subcompact Cars
Honda,Insight,Compact Cars
Kia,Forte,Compact Cars
Ford,Fusion AWD FFV,Midsize Cars
Ford,Fusion FWD FFV,Midsize Cars
Ford,Fusion Hybrid FWD,Midsize Cars
Ford,Fusion S FWD,Midsize Cars
Mercury,Milan AWD FFV,Midsize Cars
Mercury,Milan FFV,Midsize Cars
Mercury,Milan Hybrid FWD,Midsize Cars
Mercury,Milan S,Midsize Cars
Chevrolet,Camaro,Compact Cars
Cadillac,CTS Wagon,Small Station Wagons
Cadillac,CTS Wagon AWD,Small Station Wagons
Kia,Soul,Small Station Wagons
Toyota,Tundra 4WD FFV,Standard Pickup Trucks 4WD
Ford,Transit Connect,Special Purpose Vehicle 2WD
GMC,Terrain FWD,Sport Utility Vehicle - 2WD
Lexus,RX 450h,Sport Utility Vehicle - 2WD
Nissan,Armada 2WD FFV,Sport Utility Vehicle - 2WD
GMC,Terrain AWD,Sport Utility Vehicle - 4WD
Land Rover,LR4,Sport Utility Vehicle - 4WD
Lexus,RX 350 AWD,Sport Utility Vehicle - 4WD
Lexus,RX 450h AWD,Sport Utility Vehicle - 4WD
Nissan,Armada 4WD FFV,Sport Utility Vehicle - 4WD
Porsche,Cayenne TransSiberia,Sport Utility Vehicle - 4WD
Porsche,Cayenne Turbo Kit,Sport Utility Vehicle - 4WD
Toyota,Sequoia 4WD FFV,Sport Utility Vehicle - 4WD
BMW,Z4 sDrive30i,Two Seaters
BMW,Z4 sDrive35i,Two Seaters
Ferrari,California,Minicompact Cars
Nissan,Sentra FE,Midsize Cars
Nissan,Versa FE,Midsize Cars
Nissan,Cube,Small Station Wagons
Mercedes-Benz,ML350,Sport Utility Vehicle - 2WD
Audi,Q5,Sport Utility Vehicle - 4WD
BMW,335d,Compact Cars
BMW,X5 xDrive35d,Sport Utility Vehicle - 4WD
Kenyon Corporation Of America,Kenyon 5.0 Cabrio,Two Seaters
Lamborghini,Countach Lp500s,Two Seaters
Lotus,Esprit,Two Seaters
Alfa Romeo,GT V6 2.5,Minicompact Cars
Avanti Motor Corporation,Avanti II,Minicompact Cars
Porsche,911 SC,Minicompact Cars
Toyota,Starlet,Minicompact Cars
Volkswagen,Rabbit Convertible,Minicompact Cars
Audi,Quattro,Subcompact Cars
Audi,4000,Subcompact Cars
Audi,4000 S quattro,Subcompact Cars
Nissan,Maxima,Subcompact Cars
GMC,G35 Vandura 2WD,Vans
Mercedes-Benz,190 D 2.2/190 E 2.3,Subcompact Cars
Mitsubishi,Precis,Subcompact Cars
Toyota,Cargo Van 2WD,Vans
Pontiac,2000 Sunbird Convertible,Subcompact Cars
Renault,18i,Subcompact Cars
Subaru,Sedan,Subcompact Cars
Toyota,Cressida,Subcompact Cars
Volkswagen,Jetta,Subcompact Cars
Volkswagen,Rabbit,Subcompact Cars
Cadillac,Eldorado Convertible,Compact Cars
Bill Dovell Motor Car Company,Dovell 230CE,Compact Cars
Bill Dovell Motor Car Company,Dovell 230E,Compact Cars
Kenyon Corporation Of America,Kenyon 5.0 Coupe,Compact Cars
Kenyon Corporation Of America,Kenyon 5.0 Sp Sedan,Compact Cars
Mercedes-Benz,300D/300CD,Compact Cars
Mercedes-Benz,300SD/380SE,Compact Cars
Oldsmobile,Omega,Compact Cars
Peugeot,604 Sedan,Compact Cars
Pontiac,2000 Sunbird,Compact Cars
Bitter Gmbh and Co. Kg,SC,Midsize Cars
Chrysler,E Class/New Yorker,Midsize Cars
Chrysler,Executive Sedan/Limousine,Midsize Cars
Kenyon Corporation Of America,Kenyon 5.0 Sedan,Midsize Cars
Pontiac,Phoenix,Midsize Cars
Volvo,760 GLE,Midsize Cars
Cadillac,Brougham/DeVille (RWD),Large Cars
Oldsmobile,Delta 88,Large Cars
Pontiac,2000 Sunbird Wagon,Small Station Wagons
Renault,Sportwagon,Small Station Wagons
Toyota,Cressida Wagon,Small Station Wagons
Toyota,Tercel Wagon,Small Station Wagons
Audi,5000S Wagon,Midsize Station Wagons
Buick,Century Estate Wagon,Midsize Station Wagons
Chevrolet,Celebrity Wagon,Midsize Station Wagons
Chrysler,Town and Country Wagon,Midsize Station Wagons
Dodge,Aries Wagon,Midsize Station Wagons
Ford,LTD Wagon,Midsize Station Wagons
Mercury,Marquis Wagon,Midsize Station Wagons
Mercedes-Benz,300TD,Midsize Station Wagons
Oldsmobile,Cutlass Cruiser Wagon,Midsize Station Wagons
Peugeot,505 Station Wagon,Midsize Station Wagons
Plymouth,Reliant Wagon,Midsize Station Wagons
Pontiac,6000 Wagon,Midsize Station Wagons
Volvo,240 DL/GL/Turbo Wagon,Midsize Station Wagons
Buick,Electra Estate Wagon,Midsize-Large Station Wagons
Nissan,Pickup 2WD,Small Pickup Trucks 2WD
Dodge,Rampage Pickup 2WD,Small Pickup Trucks 2WD
Dodge,Ram 50 Pickup 2WD,Small Pickup Trucks 2WD
Ford,Courier Pickup 2WD,Small Pickup Trucks 2WD
GMC,S15 Pickup 2WD,Small Pickup Trucks 2WD
Isuzu,Pickup 2WD,Small Pickup Trucks 2WD
Mitsubishi,Truck 2WD,Small Pickup Trucks 2WD
Mazda,B2000/B2200 Pickup 2WD,Small Pickup Trucks 2WD
Nissan,Pickup 4WD,Small Pickup Trucks 4WD
Dodge,Power Ram 50 Pickup 4WD,Small Pickup Trucks 4WD
Isuzu,Pickup 4WD,Small Pickup Trucks 4WD
Import Foreign Auto Sales Inc,1fas 410,Small Pickup Trucks 4WD
Jeep,Scrambler Pickup 4WD,Small Pickup Trucks 4WD
Mitsubishi,Truck 4WD,Small Pickup Trucks 4WD
Suzuki,SJ410K P/U 4WD,Small Pickup Trucks 4WD
Chevrolet,C10 Pickup 2WD,Standard Pickup Trucks 2WD
Chevrolet,C20 Pickup 2WD,Standard Pickup Trucks 2WD
Chevrolet,El Camino Pickup 2WD,Standard Pickup Trucks 2WD
Dodge,D100/D150 Pickup 2WD,Standard Pickup Trucks 2WD
Dodge,D250 Pickup 2WD,Standard Pickup Trucks 2WD
GMC,Caballero Pickup 2WD,Standard Pickup Trucks 2WD
GMC,C15 Pickup 2WD,Standard Pickup Trucks 2WD
GMC,C25 Pickup 2WD,Standard Pickup Trucks 2WD
Toyota,Truck 2WD,Standard Pickup Trucks 2WD
Volkswagen,Vanagon Syncro 4WD,Vans
Chevrolet,K10 Pickup 4WD,Standard Pickup Trucks 4WD
Volkswagen,Vanagon/Camper 2WD,Vans
Chevrolet,K20 Pickup 4WD,Standard Pickup Trucks 4WD
Chevrolet,T10 (S10) Pickup 4WD,Standard Pickup Trucks 4WD
Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks 4WD
Dodge,W250 Pickup 4WD,Standard Pickup Trucks 4WD
GMC,K15 Pickup 4WD,Standard Pickup Trucks 4WD
GMC,K25 Pickup 4WD,Standard Pickup Trucks 4WD
GMC,T15 (S15) Pickup 4WD,Standard Pickup Trucks 4WD
Jeep,J-10 Pickup 4WD,Standard Pickup Trucks 4WD
Toyota,Truck 4WD,Standard Pickup Trucks 4WD
Chevrolet,G10/20 Van 2WD,"Vans, Cargo Type"
Chevrolet,G30 Van 2WD,"Vans, Cargo Type"
Dodge,B150/B250 Van 2WD,"Vans, Cargo Type"
Dodge,B350 Van 2WD,"Vans, Cargo Type"
GMC,Vandura G15/25 2WD,"Vans, Cargo Type"
GMC,Vandura G35 2WD,"Vans, Cargo Type"
Toyota,Cargo Van 2WD,"Vans, Cargo Type"
Chevrolet,G10/20 Sport Van 2WD,"Vans, Passenger Type"
Chevrolet,G30 Sport Van 2WD,"Vans, Passenger Type"
Dodge,B150/B250 Wagon 2WD,"Vans, Passenger Type"
Dodge,B350 Wagon 2WD,"Vans, Passenger Type"
Ford,E150 Club Wagon 2WD,"Vans, Passenger Type"
GMC,G15/25 Rally 2WD,"Vans, Passenger Type"
GMC,G35 Rally 2WD,"Vans, Passenger Type"
Toyota,Van 2WD,"Vans, Passenger Type"
Volkswagen,Vanagon 2WD,"Vans, Passenger Type"
AM General,FJ8c Post Office,Special Purpose Vehicle 2WD
AM General,DJ Po Vehicle 2WD,Special Purpose Vehicle 2WD
Chevrolet,S10 Utility Body 2WD,Special Purpose Vehicle 2WD
GMC,S15 Utility Body 2WD,Special Purpose Vehicle 2WD
Grumman Olson,Kubvan,Special Purpose Vehicle 2WD
S and S Coach Company  E.p. Dutton,Funeral Coach  2WD,Special Purpose Vehicle 2WD
Superior Coaches Div E.p. Dutton,Funeral Coach  2WD,Special Purpose Vehicle 2WD
American Motors Corporation,Eagle SX/4 4WD,Special Purpose Vehicle 4WD
American Motors Corporation,Eagle 4WD,Special Purpose Vehicle 4WD
Chevrolet,K5/K10 Blazer 4WD,Special Purpose Vehicle 4WD
Ford,Bronco II 2WD,Special Purpose Vehicle 2WD
Isuzu,Trooper 4WD,Special Purpose Vehicle 4WD
Jeep,Cherokee/Wagoneer 4WD,Special Purpose Vehicle 4WD
Jeep,CJ7 4WD,Special Purpose Vehicle 4WD
Jeep,Grand Wagoneer 4WD,Special Purpose Vehicle 4WD
Jeep,CJ8 4WD,Special Purpose Vehicle 4WD
Mitsubishi,Montero 4WD,Special Purpose Vehicle 4WD
Subaru,Brat 4WD,Special Purpose Vehicle 4WD
Subaru,Wagon 4WD,Special Purpose Vehicle 4WD
Subaru,Sedan 4WD,Special Purpose Vehicle 4WD
Suzuki,SJ 410 4WD,Special Purpose Vehicle 4WD
Suzuki,SJ 410V 4WD,Special Purpose Vehicle 4WD
Chevrolet,S10 Cab Chassis 2WD,Special Purpose Vehicles
Nissan,Pickup Cab Chassis,Special Purpose Vehicles
Dodge,D250 Pickup Cab Chassis 2WD,Special Purpose Vehicles
Ford,F250 Pickup Cab Chassis 2WD,Special Purpose Vehicles
Ford,Ranger Pickup Cab Chassis 2WD,Special Purpose Vehicles
GMC,S15 Cab Chassis 2WD,Special Purpose Vehicles
Toyota,Cab Chassis 2WD,Special Purpose Vehicles
Jeep,Cherokee/Wagoneer 2WD,Special Purpose Vehicle 2WD
Vixen Motor Company,21 TD,Special Purpose Vehicle 2WD
American Motors Corporation,Eagle,Special Purpose Vehicles
Nissan,Stanza Wagon 4WD,Special Purpose Vehicles
Dodge,AW100/AW150 Ramcharger 4WD,Special Purpose Vehicles
Dodge,Colt Vista 4WD,Special Purpose Vehicles
Oldsmobile,Ninety-Eight II,Large Cars
Jeep,Cherokee/Wagoneer 4WD,Special Purpose Vehicles
Audi,A5 Cabriolet,Subcompact Cars
Audi,A5 Cabriolet quattro,Subcompact Cars
Audi,S5 Cabriolet,Subcompact Cars
Chevrolet,Cobalt Coupe,Subcompact Cars
Chevrolet,Cobalt SS Coupe,Subcompact Cars
Chevrolet,Cobalt XFE Coupe,Subcompact Cars
Volvo,C70 FWD,Subcompact Cars
Subaru,Sedan/3 Door 4WD,Special Purpose Vehicles
Chevrolet,Cobalt Sedan,Compact Cars
Chevrolet,Cobalt XFE Sedan,Compact Cars
Lexus,HS 250h,Compact Cars
Chevrolet,Malibu FFV,Midsize Cars
Saturn,Aura FFV,Midsize Cars
Subaru,Legacy AWD,Midsize Cars
Buick,Lucerne FFV,Large Cars
Chevrolet,Impala FFV,Large Cars
Subaru,Impreza Wagon/Outback Sport,Small Station Wagons
Volvo,XC60 FWD,Sport Utility Vehicle - 2WD
Suzuki,Samurai Convertible,Special Purpose Vehicles
Chevrolet,Express 1500 2WD Cargo,"Vans, Cargo Type"
Chrysler,Town and Country FFV,Minivan - 2WD
Dodge,Grand Caravan,Minivan - 2WD
Dodge,Grand Caravan FFV,Minivan - 2WD
Volkswagen,Routan,Minivan - 2WD
Chevrolet,HHR FWD FFV,Sport Utility Vehicle - 2WD
Chevrolet,HHR Panel FWD FFV,Sport Utility Vehicle - 2WD
Volga Associated Automobile,Niva,Special Purpose Vehicles
Lincoln,MKT FWD,Sport Utility Vehicle - 2WD
Dodge,Journey  AWD,Sport Utility Vehicle - 4WD
Lincoln,MKT AWD,Sport Utility Vehicle - 4WD
Mercury,Mountaineer AWD,Sport Utility Vehicle - 4WD
Pontiac,G3 (5-Door),Compact Cars
Infiniti,G37 Convertible,Subcompact Cars
Pontiac,Firebird/Trans Am/Formula,Subcompact Cars
Ford,Courier,Small Pickup Trucks 2WD
Mazda,B2000/B2200/B2600,Small Pickup Trucks 2WD
Ford,Courier Pickup 4WD,Small Pickup Trucks 4WD
Mazda,B2600 4x4,Small Pickup Trucks 4WD
Chrysler,QC Car,Two Seaters
Ford,Taurus Wagon V6 A/C,Midsize-Large Station Wagons
Mercury,Sable Wagon V6 A/C,Midsize-Large Station Wagons
Geo,Metro LSI Convertible,Two Seaters
Yugo,GV Plus/GV/Cabrio,Minicompact Cars
Mercedes-Benz,420SE,Midsize Cars
Volvo,740,Midsize Cars
Volvo,740 Wagon,Midsize-Large Station Wagons
Chevrolet,V10 (K10) Suburban 4WD,Special Purpose Vehicle 4WD
GMC,V15 Suburban 4WD,Special Purpose Vehicle 4WD
Toyota,Cab/Chassis,Special Purpose Vehicle 2WD
Wallace Environmental,Wetl 500 SL,Two Seaters
Wallace Environmental,Wetl 560 SL,Two Seaters
Import Trade Services,ITS 190E,Subcompact Cars
Import Trade Services,ITS 190E 2.0,Subcompact Cars
Import Trade Services,ITS 190E 2.3,Subcompact Cars
Import Trade Services,ITS 230CE,Subcompact Cars
Import Trade Services,MB 300E,Compact Cars
Wallace Environmental,Wetl 500 SE,Compact Cars
Wallace Environmental,Wetl 500 SEC,Compact Cars
Wallace Environmental,Wetl 560 SEC,Compact Cars
Import Trade Services,ITS 520,Midsize Cars
Wallace Environmental,Wetl 500 SEL,Midsize Cars
Wallace Environmental,Wetl 560 SEL,Midsize Cars
Import Trade Services,ITS 200TE,Midsize-Large Station Wagons
Import Trade Services,ITS 230TE,Midsize-Large Station Wagons
Chevrolet,K2500 Pickup 4WD,Standard Pickup Trucks 4WD
GMC,Sierra 2500 4WD,Standard Pickup Trucks 4WD
Autokraft Limited,A.C.MARK IV,Two Seaters
Import Trade Services,MB 300SL,Two Seaters
J.K. Motors,300SL,Two Seaters
J.K. Motors,300SL MERC BENZ,Two Seaters
J.K. Motors,Testarossa,Two Seaters
Wallace Environmental,Wetl Testarossa,Two Seaters
Wallace Environmental,Wetl 190E,Subcompact Cars
Wallace Environmental,Wetl 190E 2.3,Subcompact Cars
Wallace Environmental,Wetl 850I,Subcompact Cars
Import Trade Services,BMW 325I,Compact Cars
Wallace Environmental,Wetl 412,Compact Cars
J.K. Motors,300CE MERC BENZ,Midsize Cars
J.K. Motors,300E MERC BENZ,Midsize Cars
J.K. Motors,BMW535I,Midsize Cars
J.K. Motors,BMW635CSI,Midsize Cars
Cadillac,Allante,Two Seaters
J.K. Motors,BMW635L6,Midsize Cars
J.K. Motors,BMW735I,Midsize Cars
J.K. Motors,BMW735IL,Midsize Cars
J.K. Motors,MERC BENZ 300CE,Midsize Cars
J.K. Motors,MERC BENZ 300E,Midsize Cars
J.K. Motors,MERC BENZ 300SE,Midsize Cars
J.K. Motors,MERC.BENZ.300SE,Midsize Cars
J.K. Motors,MERC BENZ 300SEL,Large Cars
Wallace Environmental,Wetl 600 SEL,Large Cars
Audi,100 quattro Wagon,Small Station Wagons
J.K. Motors,300TE MERC BENZ,Midsize-Large Station Wagons
J.K. Motors,MERC BENZ 300TE,Midsize-Large Station Wagons
Ferrari,348 TB/TS,Two Seaters
Mercedes-Benz,300SL,Two Seaters
Mercedes-Benz,600SL,Two Seaters
Panos,Roadster,Two Seaters
CX Automotive,CX 25Tri,Two Seaters
Aston Martin,Virage/Volante,Subcompact Cars
Mercedes-Benz,300CE,Subcompact Cars
Saleen,Mustang,Subcompact Cars
J.K. Motors,190E 2.3 MERC BENZ,Compact Cars
Mercedes-Benz,300D 2.5 Turbo,Compact Cars
Mercedes-Benz,300E 2.8,Compact Cars
Mercedes-Benz,300E 4Matic,Compact Cars
Mercedes-Benz,500E,Compact Cars
J.K. Motors,230E MERC BENZ,Midsize Cars
J.K. Motors,MERC.BENZ 260E,Midsize Cars
J.K. Motors,PORSCHE 928 S4,Midsize Cars
Lexus,GS300,Midsize Cars
Mercedes-Benz,500SEC,Midsize Cars
Mercedes-Benz,600SEL/SEC,Large Cars
Saab,9000,Large Cars
Mercedes-Benz,300TE,Midsize-Large Station Wagons
Mercedes-Benz,300TE 4Matic,Midsize-Large Station Wagons
Chevrolet,C2500 Pickup 2WD,Standard Pickup Trucks 2WD
Toyota,Truck 2WD/T100 2WD,Standard Pickup Trucks 2WD
Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks 4WD
GMC,Rally G15/25 2WD,"Vans, Passenger Type"
Volkswagen,Eurovan,"Vans, Passenger Type"
Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicle 2WD
Jaguar,XJ-SC,Two Seaters
Lotus,Esprit Turbo HC PI,Two Seaters
Jaguar,XJ6L,Midsize Cars
Quantum Technologies,Chevrolet Cavalier,Subcompact Cars
Ferrari,360 Modena/Modena F1,Two Seaters
Isuzu,Vehicross,Special Purpose Vehicle 4WD
Chevrolet,Impala Police,Large Cars
London Taxi,London Taxi,Special Purpose Vehicle
Porsche,911 Carrera 4,Minicompact Cars
Porsche,911 Carrera 4 Targa,Minicompact Cars
Porsche,911 Carrera 4S Cabriolet,Minicompact Cars
Red Shift Ltd.,Delta 204T,Two Seaters
Porsche,911 Carrera 4S Targa,Minicompact Cars
Porsche,911 Carrera S,Minicompact Cars
Porsche,911 Carrera S Cabriolet,Minicompact Cars
Ruf Automobile Gmbh,Ruf,Two Seaters
Mercedes-Benz,E550 Coupe,Subcompact Cars
Pontiac,G3 (3-Door),Subcompact Cars
Pontiac,G6 FFV,Compact Cars
Mercedes-Benz,S400 Hybrid,Large Cars
Chevrolet,Turbo Sprint,Minicompact Cars
Acura,RDX 2WD,Sport Utility Vehicle - 2WD
Ferrari,3.2 Mondial/Cabriolet,Minicompact Cars
Bentley,Continental Supersports,Two Seaters
Lamborghini,Murcielago Reventon Roadster,Two Seaters
Mercedes-Benz,E350 Coupe,Subcompact Cars
Mercedes-Benz,C300 FFV,Compact Cars
Pontiac,Turbo Firefly,Minicompact Cars
Mercedes-Benz,C300 4matic FFV,Compact Cars
Buick,Lacrosse/Allure AWD,Midsize Cars
Hummer,H3T 4WD FFV,Standard Pickup Trucks 4WD
Chevrolet,Express 1500 2WD Cargo FFV,"Vans, Cargo Type"
Chevrolet,Express 1500 2WD Conversion Cargo FFV,"Vans, Cargo Type"
Chevrolet,Express 1500 AWD Cargo FFV,"Vans, Cargo Type"
Chevrolet,Express 1500 AWD Conversion Cargo FFV,"Vans, Cargo Type"
GMC,Savana 1500 2WD (cargo) FFV,"Vans, Cargo Type"
GMC,Savana 1500 2WD Conversion (cargo) FFV,"Vans, Cargo Type"
GMC,Savana 1500  AWD (cargo) FFV,"Vans, Cargo Type"
GMC,Savana 1500  AWD Conversion (cargo) FFV,"Vans, Cargo Type"
Chevrolet,Express 1500 2WD Passenger FFV,"Vans, Passenger Type"
Chevrolet,Express 1500 AWD Passenger FFV,"Vans, Passenger Type"
GMC,Savana 1500 2WD (Passenger) FFV,"Vans, Passenger Type"
GMC,Savana 1500 AWD (Passenger) FFV,"Vans, Passenger Type"
Ford,Escape FWD FFV,Sport Utility Vehicle - 2WD
Mazda,Tribute FWD FFV,Sport Utility Vehicle - 2WD
Mercury,Mariner FWD FFV,Sport Utility Vehicle - 2WD
BMW,X5 xDriveM,Sport Utility Vehicle - 4WD
BMW,X6 xDriveM,Sport Utility Vehicle - 4WD
Ford,Escape 4WD FFV,Sport Utility Vehicle - 4WD
Hummer,H3 4WD FFV,Sport Utility Vehicle - 4WD
Mazda,Tribute 4WD FFV,Sport Utility Vehicle - 4WD
Mercedes-Benz,GLK350 4matic,Sport Utility Vehicle - 4WD
Mercury,Mariner 4WD FFV,Sport Utility Vehicle - 4WD
Chevrolet,Sport Van G10/20 2WD (passenger),Vans
Chevrolet,G10/20 Van 2WD (cargo),Vans
GMC,Vandura G15/25 2WD (cargo),Vans
Chevrolet,G30 Van 2WD (cargo),Vans
GMC,Vandura G35 2WD (cargo),Vans
Isuzu,Pickup 2WD,Standard Pickup Trucks
Subaru,RX Turbo,Subcompact Cars
Saab,9-3 Sedan AWD,Compact Cars
Excalibur Autos,Phaeton,Minicompact Cars
Hyundai,Elantra Blue,Midsize Cars
Saab,9-3X SportCombi AWD,Small Station Wagons
Suzuki,Forsa Turbo,Minicompact Cars
Nissan,Pathfinder FE 2WD,Sport Utility Vehicle - 2WD
Mercedes-Benz,GL350 Bluetec,Sport Utility Vehicle - 4WD
Mercedes-Benz,ML350 Bluetec,Sport Utility Vehicle - 4WD
Mercedes-Benz,R350 Bluetec,Sport Utility Vehicle - 4WD
Chevrolet,Sport Van G30 2WD (cargo),"Vans, Cargo Type"
GMC,Vandura 2500 2WD,Special Purpose Vehicles
Porsche,924 S,Minicompact Cars
Alfa Romeo,8 C Spider,Minicompact Cars
Nissan,Titan FE 2WD,Standard Pickup Trucks 2WD
Alfa Romeo,Milano,Subcompact Cars
Nissan,Titan FE 2WD FFV,Standard Pickup Trucks 2WD
Chevrolet,C1500 Pickup 2WD,Standard Pickup Trucks/2wd
Chevrolet,Pickup 2500 2WD,Standard Pickup Trucks/2wd
GMC,Sierra 1500 2WD,Standard Pickup Trucks/2wd
GMC,Sierra 2500 2WD,Standard Pickup Trucks/2wd
GMC,Rally G15/25 2WD (passenger),Vans Passenger
Mitsubishi,Montero Sport 2WD,Special Purpose Vehicles/2wd
Mitsubishi,Montero Sport 4WD,Special Purpose Vehicles/4wd
Mercedes-Benz,300SDL,Midsize Cars
Mercedes-Benz,GLK350,Sport Utility Vehicle - 2WD
GMC,Safari 2WD (passenger),Vans Passenger
Dodge,Dakota Pickup 4WD FFV,Standard Pickup Trucks 4WD
Dodge,Dakota Pickup 2WD FFV,Standard Pickup Trucks 2WD
Dodge,Ram 1500 Pickup 2WD FFV,Standard Pickup Trucks 2WD
Dodge,Ram 1500 Pickup 4WD FFV,Standard Pickup Trucks 4WD
Ford,Ranger 2WD,Small Pickup Trucks 2WD
Ford,Ranger 4WD,Small Pickup Trucks 4WD
Aston Martin,DBS,Minicompact Cars
Chrysler,Sebring Convertible FFV,Compact Cars
Chrysler,Sebring FFV,Midsize Cars
Dodge,Avenger FFV,Midsize Cars
BMW,550 GT,Large Cars
BMW,750i xDrive,Large Cars
BMW,750Li xDrive,Large Cars
Nissan,Titan 2WD FFV,Standard Pickup Trucks 2WD
Nissan,Titan 4WD FFV,Standard Pickup Trucks 4WD
Chevrolet,Silverado C15 2WD FFV,Standard Pickup Trucks 2WD
Chevrolet,Silverado C15 XFE 2WD FFV,Standard Pickup Trucks 2WD
GMC,Sierra C15 2WD FFV,Standard Pickup Trucks 2WD
GMC,Sierra C15 XFE 2WD FFV,Standard Pickup Trucks 2WD
Chevrolet,Silverado K15 4WD FFV,Standard Pickup Trucks 4WD
GMC,Sierra K15 4WD FFV,Standard Pickup Trucks 4WD
GMC,Sierra K15 AWD FFV,Standard Pickup Trucks 4WD
Cadillac,Escalade 2WD FFV,Sport Utility Vehicle - 2WD
Cadillac,Escalade ESV 2WD FFV,Sport Utility Vehicle - 2WD
